country,placement_id
Canada,1
United States of America,2
Guatemala,3
Ecuador,4
Peru,5
Chile,6
Trinidad and Tobago,7
Cuba,8
Nicaragua,9
Costa Rica,10
Paraguay,11
Argentina,12
Haiti,13
Dominican Republic,14
Venezuela (Bolivarian Republic of),15
Suriname,16
Brazil,17
Uruguay,18
Iceland,19
Belgium,20
France,21
Switzerland,22
Spain,23
Portugal,24
Ireland,25
Netherlands,26
Luxembourg,27
Austria,28
Italy,29
Malta,30
United Kingdom,31
Germany,32
Czech Republic,33
Slovenia,34
Croatia,35
Bosnia and Herzegovina,36
Norway,37
Denmark,38
Slovakia,39
Hungary,40
Montenegro,41
Albania,42
Sweden,43
Poland,44
Romania,45
Serbia,46
The former Yugoslav Republic of Macedonia,47
Greece,48
Finland,49
Lithuania,50
Belarus,51
Cabo Verde,52
Bulgaria,53
Cyprus,54
Estonia,55
Latvia,56
Senegal,57
Gambia (The),58
Cameroon,59
Sao Tome and Principe,60
Russian Federation,61
Georgia,62
Morocco,63
Ghana,64
Equatorial Guinea,65
Democratic Republic of the Congo,66
Israel,67
Kuwait,68
Algeria,69
Nigeria,70
Burundi,71
Namibia,72
Lebanon,73
Bahrain,74
Tunisia,75
Niger,76
Rwanda,77
South Africa,78
Iraq,79
Qatar,80
Sudan,81
Chad,82
Uganda,83
Zimbabwe,84
Azerbaijan,85
Iran (Islamic Republic of),86
United Arab Emirates,87
Ethiopia,88
United Republic of Tanzania,89
Zambia,90
Kazakhstan,91
Kyrgyzstan,92
Oman,93
Somalia,94
Seychelles,95
Mozambique,96
Bangladesh,97
India,98
Thailand,99
Viet Nam,100
Timor-Leste,101
Sri Lanka,102
Bhutan,103
Myanmar,104
Cambodia,105
Singapore,106
Indonesia,107
Australia,108
Mongolia,109
Republic of Korea,110
China,111
Malaysia,112
Micronesia (Federated States of),113
New Zealand,114
Japan,117
Philippines,118
Solomon Islands,119